Rank  Hero Name                                Usage Rate  Win Rate  Ban Rate
-----------------------------------------------------------------------------
1     Boss Arunka                                  36.70%    46.91%    14.30%
2     Perfumer Byblis                              35.01%    60.03%    15.02%
3     Rinak                                        26.73%    48.38%    23.07%
4     Estelle                                      25.15%    51.92%     8.46%
5     Lady of the Scales                           23.82%    55.19%    22.32%
6     Genesis Ras                                  20.72%    51.67%    15.85%
7     Setsuka                                      20.68%    53.38%    20.69%
8     Lone Crescent Bellona                        19.41%    51.89%    13.76%
9     Frieren                                      18.21%    55.57%    21.06%
10    Zio                                          17.06%    41.62%    12.04%
11    Arbiter Vildred                              16.14%    54.17%    18.05%
12    Salome                                       15.23%    45.78%    15.34%
13    Belian                                       14.59%    50.17%    20.53%
14    Shepherd of the Dark Diene                   13.81%    56.41%    31.67%
15    New Moon Luna                                13.12%    50.73%    30.71%
16    Empyrean Ilynav                              12.88%    48.51%    12.11%
17    School Nurse Yulha                           12.80%    53.46%    18.02%
18    Rhianna and Luciella                         12.50%    54.08%    22.60%
19    Notos                                        11.88%    57.81%    38.04%
20    Ruele of Light                               10.80%    52.92%    24.29%
21    Swift Flagbearer Sigret                       9.71%    51.01%    21.65%
22    Witch of the Mere Tenebria                    9.65%    49.03%    30.00%
23    Tori                                          9.42%    50.91%    19.20%
24    Tactical Archetype Coli                       9.28%    47.68%    23.02%
25    Harsetti                                      9.01%    51.40%    24.46%
26    Moon Bunny Dominiel                           8.71%    53.41%    23.46%
27    Bystander Hwayoung                            8.47%    47.42%    26.02%
28    Hecate                                        8.30%    47.12%    23.21%
29    Lionheart Cermia                              8.12%    48.43%    29.53%
30    Aubade Ludwig                                 7.17%    53.86%    21.82%
31    Spirit Eye Celine                             7.10%    46.06%    15.15%
32    Briar Witch Iseria                            6.55%    49.90%    13.24%
33    Monarch of the Sword Iseria                   5.95%    51.62%    23.94%
34    Eye of the Abyss Fumyr                        5.15%    46.29%    13.20%
35    Successor Taeyou                              4.94%    42.28%    45.72%
36    Disciplinary Prefect Aria                     4.53%    51.16%    14.98%
37    Mort                                          4.31%    53.26%    34.41%
38    Sea Phantom Politis                           4.01%    48.95%    15.63%
39    Ivana                                         3.85%    47.52%    21.78%
40    Maid Chloe                                    3.78%    52.40%    18.73%
41    Afternoon Soak Flan                           3.49%    47.22%    28.09%
42    Saria                                         3.34%    46.67%    35.44%
               
