Epic Seven Hero Stats - Sorted by Usage (Pick) Rate
Season: pvp_rta_ss20 | Tier: champion
Total heroes: 100

Rank  Hero Name                                Usage Rate  Win Rate  Ban Rate
-----------------------------------------------------------------------------
1     Boss Arunka                                  36.70%    46.91%    14.30%
2     Perfumer Byblis                              35.01%    60.03%    15.02%
3     Rinak                                        26.73%    48.38%    23.07%
4     Estelle                                      25.15%    51.92%     8.46%
5     Lady of the Scales                           23.82%    55.19%    22.32%
6     Genesis Ras                                  20.72%    51.67%    15.85%
7     Setsuka                                      20.68%    53.38%    20.69%
8     Lone Crescent Bellona                        19.41%    51.89%    13.76%
9     Frieren                                      18.21%    55.57%    21.06%
10    Zio                                          17.06%    41.62%    12.04%
11    Arbiter Vildred                              16.14%    54.17%    18.05%
12    Salome                                       15.23%    45.78%    15.34%
13    Belian                                       14.59%    50.17%    20.53%
14    Shepherd of the Dark Diene                   13.81%    56.41%    31.67%
15    New Moon Luna                                13.12%    50.73%    30.71%
16    Empyrean Ilynav                              12.88%    48.51%    12.11%
17    School Nurse Yulha                           12.80%    53.46%    18.02%
18    Rhianna and Luciella                         12.50%    54.08%    22.60%
19    Notos                                        11.88%    57.81%    38.04%
20    Ruele of Light                               10.80%    52.92%    24.29%
21    Swift Flagbearer Sigret                       9.71%    51.01%    21.65%
22    Witch of the Mere Tenebria                    9.65%    49.03%    30.00%
23    Tori                                          9.42%    50.91%    19.20%
24    Tactical Archetype Coli                       9.28%    47.68%    23.02%
25    Harsetti                                      9.01%    51.40%    24.46%
26    Moon Bunny Dominiel                           8.71%    53.41%    23.46%
27    Bystander Hwayoung                            8.47%    47.42%    26.02%
28    Hecate                                        8.30%    47.12%    23.21%
29    Lionheart Cermia                              8.12%    48.43%    29.53%
30    Aubade Ludwig                                 7.17%    53.86%    21.82%
31    Spirit Eye Celine                             7.10%    46.06%    15.15%
32    Briar Witch Iseria                            6.55%    49.90%    13.24%
33    Monarch of the Sword Iseria                   5.95%    51.62%    23.94%
34    Eye of the Abyss Fumyr                        5.15%    46.29%    13.20%
35    Successor Taeyou                              4.94%    42.28%    45.72%
36    Disciplinary Prefect Aria                     4.53%    51.16%    14.98%
37    Mort                                          4.31%    53.26%    34.41%
38    Sea Phantom Politis                           4.01%    48.95%    15.63%
39    Ivana                                         3.85%    47.52%    21.78%
40    Maid Chloe                                    3.78%    52.40%    18.73%
41    Afternoon Soak Flan                           3.49%    47.22%    28.09%
42    Saria                                         3.34%    46.67%    35.44%
43    Straze                                        2.98%    48.00%    32.86%
44    Vildred                                       2.95%    48.76%    21.28%
45    Festive Eda                                   2.87%    49.18%    23.46%
46    Amid                                          2.81%    46.95%    21.08%
47    Unbound Knight Arowell                        2.71%    53.57%     7.31%
48    Celine                                        2.66%    44.97%    23.80%
49    Diene                                         2.56%    48.78%    16.70%
50    Lidica                                        2.52%    47.68%    12.82%
51    Aram                                          2.17%    50.19%    15.83%
52    Top Model Luluca                              2.08%    45.90%    20.65%
53    Silvertide Christy                            1.99%    48.49%    15.67%
54    Dragon King Sharun                            1.94%    47.88%    21.47%
55    Commander Pavel                               1.84%    47.83%    26.73%
56    Pirate Captain Flan                           1.82%    47.84%    20.82%
57    Infinite Horizon Achates                      1.82%    46.85%    29.54%
58    Young Senya                                   1.77%    48.25%    29.60%
59    Fallen Cecilia                                1.63%    51.64%    12.89%
60    Death Dealer Ray                              1.56%    42.65%    27.76%
61    Silver Blade Aramintha                        1.51%    48.20%    26.39%
62    Lone Wolf Peira                               1.43%    44.94%    12.76%
63    Elvira                                        1.33%    46.45%    36.33%
64    Zeno                                          1.17%    47.45%    27.01%
65    Schniel                                       1.15%    36.21%    12.59%
66    Elena                                         1.15%    50.86%    30.54%
67    Urban Shadow Choux                            1.10%    44.14%    12.29%
68    Last Rider Krau                               1.09%    48.71%    11.36%
69    Veronica                                      1.07%    43.60%    23.15%
70    Twisted Eidolon Kayron                        1.06%    46.69%    17.91%
71    Dragon Bride Senya                            1.05%    46.42%    13.36%
72    Requiem Roana                                 0.96%    41.48%    29.76%
73    Inheritor Amiki                               0.95%    48.73%    30.33%
74    Argent Waves Hwayoung                         0.92%    43.60%    25.70%
75    Yulha                                         0.91%    47.75%    14.59%
76    Blood Blade Karin                             0.72%    44.42%    13.80%
77    Ran                                           0.66%    43.03%     5.63%
78    Aki                                           0.66%    42.41%    26.52%
79    Designer Lilibet                              0.63%    47.46%    26.77%
80    Birgitta                                      0.62%    48.62%    13.09%
81    Lethe                                         0.62%    42.41%    13.52%
82    Savior Adin                                   0.59%    43.15%     9.90%
83    Eternal Wanderer Ludwig                       0.56%    43.00%    24.80%
84    Apocalypse Ravi                               0.52%    41.57%    10.60%
85    Charlotte                                     0.51%    47.44%     6.77%
86    Hellion Lua                                   0.51%    46.88%    11.43%
87    Abyssal Yufine                                0.50%    43.92%    15.93%
88    Politis                                       0.48%    45.45%    27.10%
89    Jenua                                         0.46%    44.14%    14.38%
90    Dark Corvus                                   0.43%    44.72%    23.51%
91    Westwind Executioner Schuri                   0.43%    45.55%    15.11%
92    Sez                                           0.42%    43.72%    15.45%
93    Fern                                          0.42%    43.88%     9.61%
94    Summer Break Charlotte                        0.40%    44.19%    16.65%
95    Architect Laika                               0.39%    38.27%    24.72%
96    Fumyr                                         0.39%    46.46%    19.57%
97    Wanderer Silk                                 0.38%    49.27%    32.54%
98    Mediator Kawerik                              0.37%    42.89%    10.61%
99    Eligos                                        0.37%    35.68%     8.57%
100   Midnight Gala Lilias                          0.36%    42.10%    13.98%
